sensor_id,day,week,time,temperature,humidity,light
q3bPOMgDza,Monday,1,00:04:51,27,78,644
q3bPOMgDza,Monday,1,01:00:24,28,76,645
q3bPOMgDza,Monday,1,02:04:23,30,68,643
q3bPOMgDza,Monday,1,03:00:06,29,76,618
q3bPOMgDza,Monday,1,04:05:58,26,82,600
q3bPOMgDza,Monday,1,05:01:36,24,82,630
q3bPOMgDza,Monday,1,06:01:03,21,85,651
q3bPOMgDza,Monday,1,07:01:47,21,81,655
q3bPOMgDza,Monday,1,08:02:09,21,78,690
q3bPOMgDza,Monday,1,09:05:59,23,76,737
q3bPOMgDza,Monday,1,10:01:27,20,76,746
q3bPOMgDza,Monday,1,11:01:47,20,76,710
q3bPOMgDza,Monday,1,12:04:11,20,72,681
q3bPOMgDza,Monday,1,13:05:39,23,73,686
q3bPOMgDza,Monday,1,14:04:56,26,78,667
q3bPOMgDza,Monday,1,15:04:20,23,85,643
q3bPOMgDza,Monday,1,16:02:02,20,75,621
q3bPOMgDza,Monday,1,17:04:15,18,68,606
q3bPOMgDza,Monday,1,18:00:37,15,68,600
q3bPOMgDza,Monday,1,19:04:32,13,70,650
q3bPOMgDza,Monday,1,20:01:54,13,77,699
q3bPOMgDza,Monday,1,21:05:54,16,73,670
q3bPOMgDza,Monday,1,22:02:03,16,65,643
q3bPOMgDza,Monday,1,23:03:40,16,72,643
q3bPOMgDza,Tuesday,1,00:05:29,29,69,823
q3bPOMgDza,Tuesday,1,01:01:22,30,65,830
q3bPOMgDza,Tuesday,1,02:03:49,30,71,788
q3bPOMgDza,Tuesday,1,03:03:04,30,71,783
q3bPOMgDza,Tuesday,1,04:00:11,30,81,741
q3bPOMgDza,Tuesday,1,05:01:14,30,85,718
q3bPOMgDza,Tuesday,1,06:02:43,29,81,668
q3bPOMgDza,Tuesday,1,07:03:09,30,71,666
q3bPOMgDza,Tuesday,1,08:03:31,30,65,712
q3bPOMgDza,Tuesday,1,09:00:51,30,65,747
q3bPOMgDza,Tuesday,1,10:02:01,30,73,719
q3bPOMgDza,Tuesday,1,11:03:28,30,78,748
q3bPOMgDza,Tuesday,1,12:04:30,30,81,762
q3bPOMgDza,Tuesday,1,13:03:40,30,74,784
q3bPOMgDza,Tuesday,1,14:05:01,30,83,784
q3bPOMgDza,Tuesday,1,15:00:01,28,85,742
q3bPOMgDza,Tuesday,1,16:01:20,27,85,727
q3bPOMgDza,Tuesday,1,17:03:02,26,83,756
q3bPOMgDza,Tuesday,1,18:03:55,29,74,725
q3bPOMgDza,Tuesday,1,19:05:07,29,70,679
q3bPOMgDza,Tuesday,1,20:03:47,30,72,632
q3bPOMgDza,Tuesday,1,21:02:42,30,80,641
q3bPOMgDza,Tuesday,1,22:00:56,30,81,686
q3bPOMgDza,Tuesday,1,23:04:49,27,73,640
q3bPOMgDza,Wednesday,1,00:03:09,30,70,868
q3bPOMgDza,Wednesday,1,01:05:20,27,73,858
q3bPOMgDza,Wednesday,1,02:00:24,24,73,863
q3bPOMgDza,Wednesday,1,03:01:35,26,65,881
q3bPOMgDza,Wednesday,1,04:05:27,29,66,878
q3bPOMgDza,Wednesday,1,05:00:12,30,72,849
q3bPOMgDza,Wednesday,1,06:00:56,29,74,814
q3bPOMgDza,Wednesday,1,07:03:06,29,74,809
q3bPOMgDza,Wednesday,1,08:05:18,28,74,817
q3bPOMgDza,Wednesday,1,09:02:55,26,66,796
q3bPOMgDza,Wednesday,1,10:05:34,23,65,818
q3bPOMgDza,Wednesday,1,11:00:51,21,67,832
q3bPOMgDza,Wednesday,1,12:04:48,23,72,859
q3bPOMgDza,Wednesday,1,13:01:13,26,69,812
q3bPOMgDza,Wednesday,1,14:02:39,28,65,778
q3bPOMgDza,Wednesday,1,15:03:59,29,65,816
q3bPOMgDza,Wednesday,1,16:00:04,30,65,865
q3bPOMgDza,Wednesday,1,17:05:33,27,66,866
q3bPOMgDza,Wednesday,1,18:03:47,28,73,871
q3bPOMgDza,Wednesday,1,19:00:48,28,78,874
q3bPOMgDza,Wednesday,1,20:02:10,26,85,893
q3bPOMgDza,Wednesday,1,21:02:02,23,77,886
q3bPOMgDza,Wednesday,1,22:00:00,23,71,911
q3bPOMgDza,Wednesday,1,23:03:10,24,67,946
q3bPOMgDza,Thursday,1,00:00:17,13,74,941
q3bPOMgDza,Thursday,1,01:03:01,13,75,986
q3bPOMgDza,Thursday,1,02:02:45,13,74,995
q3bPOMgDza,Thursday,1,03:04:35,16,74,997
q3bPOMgDza,Thursday,1,04:04:19,17,81,1000
q3bPOMgDza,Thursday,1,05:01:41,20,85,995
q3bPOMgDza,Thursday,1,06:01:09,22,76,969
q3bPOMgDza,Thursday,1,07:00:27,19,76,977
q3bPOMgDza,Thursday,1,08:04:21,18,69,1000
q3bPOMgDza,Thursday,1,09:04:20,16,76,953
q3bPOMgDza,Thursday,1,10:05:35,18,79,952
q3bPOMgDza,Thursday,1,11:01:45,19,76,929
q3bPOMgDza,Thursday,1,12:04:12,20,72,920
q3bPOMgDza,Thursday,1,13:03:54,17,72,907
q3bPOMgDza,Thursday,1,14:03:21,15,67,940
q3bPOMgDza,Thursday,1,15:01:32,14,67,987
q3bPOMgDza,Thursday,1,16:02:05,13,77,1000
q3bPOMgDza,Thursday,1,17:00:43,13,75,964
q3bPOMgDza,Thursday,1,18:00:05,16,70,931
q3bPOMgDza,Thursday,1,19:01:58,17,65,914
q3bPOMgDza,Thursday,1,20:03:31,19,73,899
q3bPOMgDza,Thursday,1,21:01:42,19,75,868
q3bPOMgDza,Thursday,1,22:04:48,21,84,892
q3bPOMgDza,Thursday,1,23:01:54,20,85,928
q3bPOMgDza,Friday,1,00:04:20,17,78,945
q3bPOMgDza,Friday,1,01:02:08,17,81,896
q3bPOMgDza,Friday,1,02:02:49,18,85,854
q3bPOMgDza,Friday,1,03:04:29,18,84,850
q3bPOMgDza,Friday,1,04:05:26,19,84,840
q3bPOMgDza,Friday,1,05:05:11,21,80,823
q3bPOMgDza,Friday,1,06:00:48,22,79,858
q3bPOMgDza,Friday,1,07:02:21,21,70,894
q3bPOMgDza,Friday,1,08:05:20,21,72,914
q3bPOMgDza,Friday,1,09:04:09,21,78,925
q3bPOMgDza,Friday,1,10:02:42,20,78,925
q3bPOMgDza,Friday,1,11:05:09,23,81,909
q3bPOMgDza,Friday,1,12:03:29,26,73,898
q3bPOMgDza,Friday,1,13:02:09,28,82,912
q3bPOMgDza,Friday,1,14:02:31,29,81,885
q3bPOMgDza,Friday,1,15:00:15,30,85,854
q3bPOMgDza,Friday,1,16:02:13,29,80,831
q3bPOMgDza,Friday,1,17:01:28,28,79,820
q3bPOMgDza,Friday,1,18:05:48,25,71,863
q3bPOMgDza,Friday,1,19:01:43,25,65,872
q3bPOMgDza,Friday,1,20:04:30,23,66,887
q3bPOMgDza,Friday,1,21:01:12,23,75,903
q3bPOMgDza,Friday,1,22:01:02,25,84,947
q3bPOMgDza,Friday,1,23:01:55,26,85,959
q3bPOMgDza,Saturday,1,00:04:02,13,84,717
q3bPOMgDza,Saturday,1,01:01:46,14,74,684
q3bPOMgDza,Saturday,1,02:04:09,16,74,642
q3bPOMgDza,Saturday,1,03:04:09,16,70,638
q3bPOMgDza,Saturday,1,04:00:45,17,70,603
q3bPOMgDza,Saturday,1,05:01:38,18,65,600
q3bPOMgDza,Saturday,1,06:01:57,18,75,646
q3bPOMgDza,Saturday,1,07:05:44,18,67,653
q3bPOMgDza,Saturday,1,08:04:53,16,66,603
q3bPOMgDza,Saturday,1,09:01:38,13,65,600
q3bPOMgDza,Saturday,1,10:01:10,13,71,606
q3bPOMgDza,Saturday,1,11:04:56,16,75,629
q3bPOMgDza,Saturday,1,12:02:07,16,81,634
q3bPOMgDza,Saturday,1,13:03:42,13,81,656
q3bPOMgDza,Saturday,1,14:00:06,13,81,633
q3bPOMgDza,Saturday,1,15:00:36,14,79,615
q3bPOMgDza,Saturday,1,16:01:56,16,70,608
q3bPOMgDza,Saturday,1,17:02:56,19,65,604
q3bPOMgDza,Saturday,1,18:05:39,22,65,600
q3bPOMgDza,Saturday,1,19:03:06,24,66,611
q3bPOMgDza,Saturday,1,20:05:58,24,66,600
q3bPOMgDza,Saturday,1,21:00:32,21,65,629
q3bPOMgDza,Saturday,1,22:03:28,19,75,668
q3bPOMgDza,Saturday,1,23:00:47,18,85,640
q3bPOMgDza,Sunday,1,00:02:30,29,75,840
q3bPOMgDza,Sunday,1,01:03:44,29,79,802
q3bPOMgDza,Sunday,1,02:03:36,27,85,781
q3bPOMgDza,Sunday,1,03:02:04,30,76,768
q3bPOMgDza,Sunday,1,04:03:28,30,81,740
q3bPOMgDza,Sunday,1,05:00:56,30,85,690
q3bPOMgDza,Sunday,1,06:02:54,28,77,691
q3bPOMgDza,Sunday,1,07:05:58,30,69,665
q3bPOMgDza,Sunday,1,08:01:48,30,66,638
q3bPOMgDza,Sunday,1,09:05:33,27,65,626
q3bPOMgDza,Sunday,1,10:04:38,27,65,668
q3bPOMgDza,Sunday,1,11:04:20,28,71,694
q3bPOMgDza,Sunday,1,12:05:00,29,77,676
q3bPOMgDza,Sunday,1,13:03:14,29,79,687
q3bPOMgDza,Sunday,1,14:05:50,28,79,695
q3bPOMgDza,Sunday,1,15:03:38,30,83,743
q3bPOMgDza,Sunday,1,16:02:27,27,85,784
q3bPOMgDza,Sunday,1,17:00:53,27,77,777
q3bPOMgDza,Sunday,1,18:05:20,30,67,754
q3bPOMgDza,Sunday,1,19:05:21,30,65,716
q3bPOMgDza,Sunday,1,20:05:37,30,70,703
q3bPOMgDza,Sunday,1,21:02:08,28,68,666
q3bPOMgDza,Sunday,1,22:04:16,28,65,645
q3bPOMgDza,Sunday,1,23:00:57,25,69,694
q3bPOMgDza,Monday,2,00:05:17,13,78,914
q3bPOMgDza,Monday,2,01:02:16,13,70,914
q3bPOMgDza,Monday,2,02:01:58,13,66,941
q3bPOMgDza,Monday,2,03:02:16,13,65,981
q3bPOMgDza,Monday,2,04:05:06,13,66,1000
q3bPOMgDza,Monday,2,05:05:14,13,75,973
q3bPOMgDza,Monday,2,06:04:27,16,77,940
q3bPOMgDza,Monday,2,07:02:30,14,83,909
q3bPOMgDza,Monday,2,08:05:58,13,85,882
q3bPOMgDza,Monday,2,09:03:51,16,76,918
q3bPOMgDza,Monday,2,10:05:07,16,70,937
q3bPOMgDza,Monday,2,11:05:17,13,65,938
q3bPOMgDza,Monday,2,12:02:38,13,68,937
q3bPOMgDza,Monday,2,13:05:25,15,69,912
q3bPOMgDza,Monday,2,14:01:42,18,70,868
q3bPOMgDza,Monday,2,15:05:52,20,77,901
q3bPOMgDza,Monday,2,16:00:29,17,78,925
